Año,Departamento,Deforestación
2013,PUTUMAYO,10720
2014,PUTUMAYO,11106
2015,PUTUMAYO,9214
2016,PUTUMAYO,11117
1990-2000,QUINDIO,935
2000-2005,QUINDIO,847
2005-2010,QUINDIO,906
2010-2012,QUINDIO,161
2013,QUINDIO,43
2014,QUINDIO,50
2015,QUINDIO,0
2016,QUINDIO,108
1990-2000,RISARALDA,549
2000-2005,RISARALDA,1068
2005-2010,RISARALDA,1430
2010-2012,RISARALDA,114
2013,RISARALDA,88
2014,RISARALDA,413
2015,RISARALDA,58
2016,RISARALDA,166
1990-2000,SAN ANDRÉS Y PROVIDENCIA,0
2000-2005,SAN ANDRÉS Y PROVIDENCIA,0
2005-2010,SAN ANDRÉS Y PROVIDENCIA,0
2010-2012,SAN ANDRÉS Y PROVIDENCIA,0
2013,SAN ANDRÉS Y PROVIDENCIA,4
2014,SAN ANDRÉS Y PROVIDENCIA,0
2015,SAN ANDRÉS Y PROVIDENCIA,0
2016,SAN ANDRÉS Y PROVIDENCIA,0
1990-2000,SANTANDER,8744
2000-2005,SANTANDER,17449
2005-2010,SANTANDER,18764
2010-2012,SANTANDER,10502
2013,SANTANDER,2955
2014,SANTANDER,4110
2015,SANTANDER,3584
2016,SANTANDER,4992
1990-2000,SUCRE,2630
2000-2005,SUCRE,4321
2005-2010,SUCRE,1954
2010-2012,SUCRE,459
2013,SUCRE,366
2014,SUCRE,440
2015,SUCRE,245
2016,SUCRE,492
1990-2000,TOLIMA,5327
2000-2005,TOLIMA,10661
2005-2010,TOLIMA,8277
2010-2012,TOLIMA,1561
2013,TOLIMA,233
2014,TOLIMA,295
2015,TOLIMA,571
2016,TOLIMA,677
1990-2000,VALLE DEL CAUCA,4401
2000-2005,VALLE DEL CAUCA,3458
2005-2010,VALLE DEL CAUCA,5245
2010-2012,VALLE DEL CAUCA,1044
2013,VALLE DEL CAUCA,611
2014,VALLE DEL CAUCA,1105
2015,VALLE DEL CAUCA,629
2016,VALLE DEL CAUCA,1108
1990-2000,VAUPES,3444
2000-2005,VAUPES,3906
2005-2010,VAUPES,2299
2010-2012,VAUPES,3590
2013,VAUPES,1154
2014,VAUPES,1967
2015,VAUPES,1116
2016,VAUPES,1949
1990-2000,VICHADA,10754
2000-2005,VICHADA,11096
2005-2010,VICHADA,9976
2010-2012,VICHADA,4071
2013,VICHADA,2661
2014,VICHADA,2589
2015,VICHADA,2690
2016,VICHADA,3565
